thickness,ltt_name,adb,laser_power,material_type,machine_type,feedrate,focal_position,gas_pressure,failure
100,ST100MD0-N2H0-30-2,0.4,10000,16Mo3,L76,5,-0.3,7.5,1
80,ST100MD0-N2H0-30-2,0.4,12000,Unknown,L26,6.5,-7.8,3,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-12.1,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H400,L76,2.4,-12.1,4.5,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,-2.5,22,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,1.5,24,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,1.5,22,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,-2.5,20,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,-2.5,16,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,15.3,1.5,16,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,-2.5,28,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,1.5,28,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,-2.5,24,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,15.3,1.5,20,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,1.5,20,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,15.3,-2.5,16,1
50,ST050MD5-N2S0-30-2,4,10000,S235JR,L76,16.8,1.5,16,1
60,ST060MD0-N2H0-30-2,0.7,6000,16Mo3,L76,6.7,-3.3,9.5,1
60,ST060MD0-N2H0-30-2,0.7,6000,16Mo3,L76,7,-3.3,9.5,1
60,ST060MD0-N2H0-30-2,0.7,6000,16Mo3,L76,7,-3.3,7.5,1
60,ST060MD0-N2H0-30-2,0.7,6000,16Mo3,L76,7,-3.3,6.5,1
60,ST060MD0-N2H0-30-2,0.7,6000,16Mo3,L76,7,-3.3,8.5,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,2.8,8.3,0.5,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,3.1,9.3,0.5,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,3.3,9.3,1,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,3.3,9.3,0.5,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,2.4,9.3,0.5,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,3.3,8.3,0.5,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,3.3,9.3,0.6,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,2.6,9.3,0.5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-6.7,5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,1.1,8,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-5.4,10.5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,1.1,9,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,-5.4,8,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,1.1,6.5,1
100,ST100MD0-N2H0-30-2,0.4,10000,S235JR,L76,5.1,1.1,5,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,-2.85,16,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-2.85,21,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-3.8,16,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,0.6,11.5,1
50,ST050MD4-N2S0-30-2,1,6000,S235JR,L26,9,-3.8,11.5,1
50,ST050MD4-N2S0-30-2,1.5,6000,S235JR,L26,9,-3.8,11.5,1
50,ST050MD4-N2S0-30-2,0.5,6000,S235JR,L26,9,-2.85,18.5,1
50,ST050MD4-N2S0-30-2,2,6000,S235JR,L26,9,0.6,16,1
50,ST050MD4-N2S0-30-2,2.5,6000,S235JR,L26,9,0.6,16,1
